sample_name,nuclide,St_E_rate_g_cm2_yr,St_E_rate_m_Myr,St_Int_Unc,St_Ext_Unc,Lm_E_rate_g_cm2_yr,Lm_E_rate_m_Myr,Lm_Int_Unc,Lm_Ext_Unc,LSDn_E_rate_g_cm2_yr,LSDn_E_rate_m_Myr,LSDn_Int_Unc,LSDn_Ext_Unc
10315-1,Be-10 (qtz),0.027,99.9,5.91,9.88,0.0269,99.8,5.9,9.55,0.0257,95.3,5.64,7.98
92215-1,Be-10 (qtz),0.102,376,35.1,46,0.1,371,34.6,44.4,0.102,377,35.2,41.6
92315-1,Be-10 (qtz),0.0638,236,19.2,26.8,0.0634,235,19.1,26,0.0595,220,18,22.2
92315-3,Be-10 (qtz),0.298,1100,118,147,0.288,1070,114,140,0.288,1070,114,131
92415-2,Be-10 (qtz),0.138,512,60.5,72.8,0.136,505,59.7,70.8,0.134,495,58.4,65.3
92415-3,Be-10 (qtz),0.0439,163,11.2,17.1,0.0435,161,11.1,16.4,0.042,156,10.8,14.2
92515-1,Be-10 (qtz),0.0246,90.9,4.32,8.4,0.0246,91.3,4.34,8.12,0.0232,85.8,4.08,6.51
92515-2,Be-10 (qtz),0.0268,99.2,5.66,9.69,0.0268,99.2,5.66,9.36,0.0256,94.7,5.4,7.78
92715-4,Be-10 (qtz),0.0184,68,35.1,35.5,0.0185,68.7,35.5,35.9,0.0181,66.9,34.6,34.8
93015-1,Be-10 (qtz),0.0333,123,4.64,10.8,0.033,122,4.59,10.3,0.033,122,4.59,8.56
93015-2,Be-10 (qtz),0.0137,50.9,1.66,4.37,0.014,51.9,1.69,4.27,0.0138,51.2,1.67,3.47
CT15081,Be-10 (qtz),0.215,797,95.1,114,0.209,774,92.4,109,0.216,799,95.3,106
CT15123,Be-10 (qtz),0.112,416,42.3,53.5,0.11,408,41.5,51.6,0.11,409,41.6,48.1
CT15125,Be-10 (qtz),0.0516,191,10.5,18.4,0.0508,188,10.4,17.5,0.0501,185,10.2,15
CT15131,Be-10 (qtz),0.00977,36.2,1.7,3.35,0.0101,37.2,1.75,3.31,0.00966,35.8,1.68,2.71
82916-1,Be-10 (qtz),0.0805,298,23.3,33.1,0.0791,293,22.9,31.7,0.0756,280,21.9,27.4
82916-3,Be-10 (qtz),0.345,1280,177,204,0.327,1210,168,191,0.324,1200,166,181
82916-4,Be-10 (qtz),0.0708,262,15.7,26,0.0696,258,15.4,24.8,0.0663,245,14.7,20.7
83016-2,Be-10 (qtz),0.683,2530,594,627,0.631,2340,549,576,0.609,2260,529,546
83116-1,Be-10 (qtz),0.499,1850,394,420,0.469,1740,370,392,0.444,1650,350,364
10115-4,Be-10 (qtz),0.101,375,28,40.8,0.0992,368,27.5,38.9,0.0975,361,27,34.4
90216-1,Be-10 (qtz),0.159,589,58.7,74.9,0.154,571,57,71.3,0.156,577,57.6,66.9
90216-2,Be-10 (qtz),1.89,6990,2490,2550,1.7,6300,2240,2290,1.57,5800,2060,2090
90216-3,Be-10 (qtz),0.6,2220,285,334,0.557,2060,264,306,0.533,1970,253,278
90416-1,Be-10 (qtz),2.02,7500,3280,3330,1.81,6720,2940,2980,1.68,6220,2720,2740
90516-1,Be-10 (qtz),0.379,1410,193,223,0.355,1320,181,206,0.354,1310,180,196
90516-3,Be-10 (qtz),0.413,1530,490,505,0.385,1430,458,470,0.376,1390,447,455
90616-1,Be-10 (qtz),0.496,1840,615,632,0.462,1710,572,587,0.446,1650,552,561
10215-2,Be-10 (qtz),0.511,1890,212,259,0.481,1780,199,240,0.469,1740,195,220
91416-1,Be-10 (qtz),0.903,3350,3410,3420,0.823,3050,3110,3120,0.755,2800,2850,2860
16AF01,Be-10 (qtz),0.0503,186,13.9,20.3,0.0492,182,13.6,19.3,0.0477,177,13.2,16.8
10215-3,Be-10 (qtz),0.0777,288,23.6,32.8,0.0767,284,23.3,31.6,0.073,270,22.2,27.3
10215-4,Be-10 (qtz),0.129,478,37,52.9,0.127,469,36.3,50.5,0.125,463,35.8,45
10215-5,Be-10 (qtz),0.241,893,54.7,89.3,0.233,863,52.8,83.6,0.238,880,53.9,74.9
