k_e_simple,k_e_boostrap,rmse_bootstrap,E_pred
1.5374451557645646e-10,1.1072150676271019e-10,8.89404501646669,64.81490121426604
9.176908711420597e-13,7.625577450984818e-13,36.58517403233593,248.45487168240942
3.743060964063148e-11,9.41581102730998e-11,23.77952872147523,520.7163104987806
4.171537436742425e-12,5.948863155283143e-12,117.78870642511055,1232.115945183753
1.3119209098113414e-11,1.1211299189959397e-11,63.689427627754064,363.19279086768825
6.458198551055393e-11,3.8744290104526143e-11,13.865765972212106,85.78914692514375
1.0543911779749589e-10,2.1166083364541484e-10,7.108447153062078,162.80194539261834
1.2532919017619162e-10,1.6078537836705357e-10,8.980953174066416,112.89559355809455
2.6394222888640916e-10,3.405307176152829e-10,29.820282481209713,77.15225072080416
2.2010754097659862e-10,2.4943374429445306e-10,8.83929459999954,117.85652200594905
2.158892510679097e-09,2.5429008371278918e-08,4.029081740281204,547.7108639043055
3.104315427410536e-11,3.1061187234390326e-11,100.60892061843221,696.4043072203337
6.214250937309193e-11,2.4785930908913122e-11,46.51032797295911,141.19512740465333
1.9034143424461726e-10,2.294517810269102e-10,15.632910801615157,196.4923742803785
7.521194403869609e-10,8.259017458970938e-10,2.992543074504899,36.67651288877287
4.0934291149227786e-11,6.267953392308442e-11,28.005803685466187,378.21211570778615
5.458726489592908e-11,5.850616081552546e-11,153.4981309770793,1025.7043588803863
2.654305901148179e-10,2.2647855556431309e-10,22.75096813388843,188.5681699256659
2.402353967459247e-10,3.0646710403483853e-10,470.31592588991776,2423.820583201021
6.084505859301242e-10,6.894866529369789e-10,352.44402862668863,1722.4401314063282
3.134665195037421e-11,1.6555666380743605e-11,31.436774484550558,153.1628720844623
3.9431545016966595e-10,9.959445033888727e-10,57.49735934683163,1217.4142465439913
1.4380942495343443e-08,1.4468140332162897e-08,2078.2238347750927,5644.015836708945
1.4196551136778472e-09,1.6166032033230707e-09,283.9442107838656,2061.100468147943
1.495395406991015e-09,9.599411859610055e-10,2454.0369871482603,3460.009969881323
1.3418052094365463e-10,1.5657090844246756e-10,175.50176194121184,1248.5483756481417
5.098541577275914e-10,7.197627678064258e-10,385.7711485987027,1679.9268596131642
9.469796981030637e-09,7.991264679037581e-09,498.7505730903456,1181.4160934991696
4.0958480890099654e-10,3.33144882727238e-10,199.02314602559187,1187.5233608458498
6.119925138247462e-08,6.029882237183161e-08,2687.3782066752333,2758.803386113911
9.999999848790808e-07,9.037194236612091e-07,14.831082120835045,129.40688289548353
1.9452648169017004e-10,2.217499929683542e-10,29.444448709287652,288.4067372601827
1.2211800686086769e-10,1.5166858756612791e-10,40.94786231818645,469.4698797879844
1.5504223114446246e-10,1.397197842330592e-10,76.30179055022566,678.5828399137628
