tau_c_simple,tau_c_boostrap,rmse_bootstrap,E_pred
48.71148645090392,59.38498652459895,8.259893109215984,34.9088368312532
87.58469929584773,86.82053745388514,36.187577081095405,325.23794322967956
62.392718065915474,62.146912208026734,23.947721062813937,211.6061351743711
75.57214086211272,77.30200952868469,112.79888573799938,709.8091814273195
66.62953696321266,68.597975900942,59.44679775250412,339.9578583120721
53.49322711219639,53.45302669341595,14.279106890939993,143.7875443607598
51.07554107594443,48.09190790205704,7.805154631578306,116.16298931017094
48.75774550073218,49.61123289533969,8.684263170446556,77.53801231223436
44.07369484295631,44.182061133899126,31.994925378858397,58.654271387174866
45.086678179923545,44.55583182932448,8.813010883552682,115.83286650082115
31.994067352459073,12.45710421063587,3.9011147012295613,11735.664610785838
55.75751641699835,52.337364044584085,106.24181004794308,1275.9536305960826
52.13620457513214,48.02149967368181,46.68034215497901,730.5432005895229
45.86003302354323,45.990366805736556,15.685160015541094,159.05902809540007
36.315329757023065,37.13760363308524,3.2700593296439413,29.45204611793195
61.11762056215173,60.877882450690116,27.039658372915685,252.55182065305124
53.44864331568252,53.267716102252535,156.4582512533467,984.9586047912279
43.5695353046887,43.528361042289575,21.12603938837538,222.09878917665515
44.614447809201444,44.686456635705696,483.29265635779444,1875.2822391634263
38.58809681653982,39.065613125062285,344.33693685100377,1405.20731138977
59.48541159616975,55.12146335742639,32.70630186467654,502.5305054026048
42.37916755344641,38.794539109347134,63.12431641212583,1082.1723923995316
28.397863670075562,27.831296006659244,2009.626507478638,6575.80631886351
35.535529227946164,36.45155789349419,266.3698950942788,1494.1372426667454
35.73326575949661,37.032717566302836,2264.914333333136,4076.461897464126
47.525921504130984,49.296573417745186,163.41393649513475,753.3740621134821
40.98391094755799,38.181696996777234,387.61829259292443,2171.021055459476
29.0318996490885,29.533191539883802,486.2751765060649,1222.062728697487
41.69019588181047,44.06384917875223,203.09394871656227,944.2545102642009
20.82987728585336,20.823147545281802,2869.2875647012647,2805.844585224286
18.068504164340432,18.576517540451665,16.20183230675063,116.15987731501158
46.32378811109943,48.985724081575526,27.42151390703755,192.5996174236975
48.986123301610895,47.13770632852036,44.70455048872269,498.34210260687223
46.859950909970436,46.05590855800729,79.05722284681529,881.8972546621095
